"Currency","10.Percent.Incentive.Rate","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell"
"USD 50 and above","90.266","82.06","82.62","81.05","83.55"
"USD (5,10 & 20)","","","","78.62",""
"USD (1 & 2)","","","","77",""
"Pound Sterling","115.687","105.17","105.89","103.75","106.65"
"Euro","99.077","90.07","90.66","88.85","91.3"
"Japanese Yen(100)","63.272","57.52","57.93","56.75","58.35"
"Swiss Franc","103.103","93.73","94.4","92.5","95.1"
"Hong Kong Dollar","11.583","10.53","10.6","10.4","10.7"
"Canadian Dollar","68.057","61.87","62.32","61.05","62.75"
"Australian Dollar","59.862","54.42","54.78","53.7","55.2"
"Singapore Dollar","67.672","61.52","61.96","60.7","62.4"
"Danish Kroner","13.288","12.08","12.17","11.9","12.25"
"Swedish Kroner","8.514","7.74","7.8","7.65","7.85"
"Norwegian Kroner","8.855","8.05","8.1","7.95","8.15"
