"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.35","83.85","82.36","82.94","RMA","20230826"
"GBP","03.00","105.85","104.38","105.07","RMA","20230826"
"EUR","88.15","90.60","89.35","89.96","RMA","20230826"
"JPY","55.90","57.45","56.63","57.04","RMA","20230826"
"CHF","92.25","94.85","93.50","94.16","RMA","20230826"
"HKD","10.35","10.65","10.50","10.58","RMA","20230826"
"CAD","59.95","61.70","60.79","61.24","RMA","20230826"
"AUD","52.40","53.85","53.10","53.45","RMA","20230826"
"SGD","60.00","61.70","60.82","61.26","RMA","20230826"
"DKK","11.80","12.15","11.98","12.07","RMA","20230826"
"SEK","7.40","7.60","7.50","7.55","RMA","20230826"
"NOK","7.60","7.85","7.72","7.78","RMA","20230826"
"USD","81.4","83.95","82.44","83.02","BOB","20230826"
"USD.5.20","78.96","","","","BOB","20230826"
"USD.12","77.33","","","","BOB","20230826"
"GBP","102.4","105.2","103.78","104.47","BOB","20230826"
"EUR","87.8","90.2","88.97","89.56","BOB","20230826"
"JPY","55.7","57.25","56.44","56.85","BOB","20230826"
"CHF","91.8","94.4","93.05","93.71","BOB","20230826"
"HKD","10.35","10.65","10.51","10.59","BOB","20230826"
"CAD","59.85","61.55","60.66","61.11","BOB","20230826"
"AUD","52.25","53.65","52.93","53.29","BOB","20230826"
"SGD","59.95","61.65","60.78","61.22","BOB","20230826"
"DKK","11.75","12.1","11.93","12.02","BOB","20230826"
"SEK","7.4","7.6","7.48","7.53","BOB","20230826"
"NOK","7.6","7.8","7.71","7.77","BOB","20230826"
"USD","81.35","83.85","82.36","82.94","TBL","20230826"
"USD.5.20","78.91","","","","TBL","20230826"
"USD.12","77.28","","","","TBL","20230826"
"GBP","103.00","105.85","104.38","105.07","TBL","20230826"
"EUR","88.15","90.60","89.35","89.96","TBL","20230826"
"JPY","55.90","57.45","56.63","57.04","TBL","20230826"
"CHF","92.25","94.85","93.50","94.16","TBL","20230826"
"HKD","10.35","10.65","10.50","10.58","TBL","20230826"
"CAD","59.95","61.70","60.79","61.24","TBL","20230826"
"AUD","52.40","53.85","53.10","53.45","TBL","20230826"
"SGD","60.00","61.70","60.82","61.26","TBL","20230826"
"DKK","11.80","12.15","11.98","12.07","TBL","20230826"
"SEK","7.40","7.60","7.50","7.55","TBL","20230826"
"NOK","7.60","7.85","7.72","7.78","TBL","20230826"
