"Currency","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Src","Date"
"USD","81.85","84.40","82.87","83.46","RMA","20230922"
"GBP","100.50","103.30","101.88","102.56","RMA","20230922"
"EUR","87.10","89.55","88.28","88.89","RMA","20230922"
"JPY","55.20","56.75","55.94","56.34","RMA","20230922"
"CHF","90.20","92.70","91.40","92.05","RMA","20230922"
"HKD","10.45","10.75","10.60","10.67","RMA","20230922"
"CAD","60.55","62.30","61.39","61.84","RMA","20230922"
"AUD","52.40","53.85","53.10","53.45","RMA","20230922"
"SGD","59.75","61.45","60.56","61.01","RMA","20230922"
"DKK","11.70","12.00","11.84","11.93","RMA","20230922"
"SEK","7.30","7.55","7.42","7.47","RMA","20230922"
"NOK","7.60","7.80","7.68","7.74","RMA","20230922"
"USD","81.85","84.4","82.87","83.46","BOB","20230922"
"USD.5.20","79.39","","","","BOB","20230922"
"USD.12","77.76","","","","BOB","20230922"
"GBP","100.5","103.3","101.88","102.56","BOB","20230922"
"EUR","87.1","89.55","88.28","88.89","BOB","20230922"
"JPY","55.2","56.75","55.94","56.34","BOB","20230922"
"CHF","90.2","92.7","91.4","92.05","BOB","20230922"
"HKD","10.45","10.75","10.6","10.67","BOB","20230922"
"CAD","60.55","62.3","61.39","61.84","BOB","20230922"
"AUD","52.4","53.85","53.1","53.45","BOB","20230922"
"SGD","59.75","61.45","60.56","61.01","BOB","20230922"
"DKK","11.7","12","11.84","11.93","BOB","20230922"
"SEK","7.3","7.55","7.42","7.47","BOB","20230922"
"NOK","7.6","7.8","7.68","7.74","BOB","20230922"
"USD","82.00","84.55","83.00","83.60","TBL","20230922"
"USD.5.20","79.54","","","","TBL","20230922"
"USD.12","77.90","","","","TBL","20230922"
"GBP","101.45","104.25","102.82","103.51","TBL","20230922"
"EUR","87.55","90.00","88.72","89.34","TBL","20230922"
"JPY","55.45","57.00","56.19","56.60","TBL","20230922"
"CHF","91.30","93.90","92.55","93.22","TBL","20230922"
"HKD","10.50","10.75","10.62","10.69","TBL","20230922"
"CAD","60.90","62.65","61.71","62.18","TBL","20230922"
"AUD","52.90","54.35","53.62","53.96","TBL","20230922"
"SGD","60.05","61.80","60.88","61.34","TBL","20230922"
"DKK","11.75","12.05","11.90","11.99","TBL","20230922"
"SEK","7.35","7.60","7.47","7.52","TBL","20230922"
"NOK","7.60","7.85","7.72","7.77","TBL","20230922"
