"Currency","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell","Src","Date"
"RMA website is down.","RMA website is down.","RMA website is down.","RMA website is down.","RMA website is down.","RMA website is down.","20231104"
"USD","83.09","83.66","82.05","84.6","BOB","20231104"
"USD.5.20","","","79.59","","BOB","20231104"
"USD.12","","","77.95","","BOB","20231104"
"GBP","101.51","102.18","100.15","102.9","BOB","20231104"
"EUR","88.46","89.05","87.3","89.7","BOB","20231104"
"JPY","55.28","55.67","54.55","56.05","BOB","20231104"
"CHF","91.86","92.54","90.65","93.2","BOB","20231104"
"HKD","10.62","10.69","10.45","10.75","BOB","20231104"
"CAD","60.44","60.88","59.65","61.3","BOB","20231104"
"AUD","53.52","53.89","52.8","54.25","BOB","20231104"
"SGD","61.01","61.46","60.2","61.9","BOB","20231104"
"DKK","11.85","11.94","11.7","12","BOB","20231104"
"SEK","7.51","7.57","7.4","7.6","BOB","20231104"
"NOK","7.44","7.5","7.35","7.55","BOB","20231104"
"USD","83.03","83.61","82.00","84.55","TBL","20231104"
"USD.5.20","","","79.54","","TBL","20231104"
"USD.12","","","77.90","","TBL","20231104"
"GBP","101.15","101.85","99.88","102.60","TBL","20231104"
"EUR","88.22","88.80","87.05","89.45","TBL","20231104"
"JPY","55.23","55.63","54.50","56.05","TBL","20231104"
"CHF","91.92","92.57","90.70","93.25","TBL","20231104"
"HKD","10.61","10.68","10.45","10.75","TBL","20231104"
"CAD","60.11","60.53","59.30","60.95","TBL","20231104"
"AUD","53.49","53.82","52.75","54.20","TBL","20231104"
"SGD","60.83","61.28","60.00","61.70","TBL","20231104"
"DKK","11.82","11.90","11.65","12.00","TBL","20231104"
"SEK","7.46","7.52","7.35","7.55","TBL","20231104"
"NOK","7.44","7.50","7.35","7.55","TBL","20231104"
