"Currency","TT.Buy","TT.Sell","Notes.Buy","Notes.Sell","Src","Date"
"USD","82.69","83.25","81.65","84.20","RMA","20240116"
"GBP","105.22","105.92","103.80","106.70","RMA","20240116"
"EUR","90.51","91.10","89.30","91.75","RMA","20240116"
"JPY","56.74","57.15","56.00","57.55","RMA","20240116"
"CHF","96.73","97.44","95.45","98.15","RMA","20240116"
"HKD","10.57","10.64","10.45","10.70","RMA","20240116"
"CAD","61.63","62.07","60.80","62.50","RMA","20240116"
"AUD","55.05","55.41","54.30","55.80","RMA","20240116"
"SGD","61.97","62.42","61.15","62.85","RMA","20240116"
"DKK","12.13","12.22","11.95","12.30","RMA","20240116"
"SEK","8.04","8.10","7.95","8.15","RMA","20240116"
"NOK","8.00","8.06","7.90","8.10","RMA","20240116"
"USD","82.69","83.25","81.65","84.2","BOB","20240116"
"USD.5.10.20","","","79.2","","BOB","20240116"
"USD.1.2","","","77.57","","BOB","20240116"
"GBP","105.22","105.92","103.8","106.7","BOB","20240116"
"EUR","90.51","91.1","89.3","91.75","BOB","20240116"
"JPY","56.74","57.15","56","57.55","BOB","20240116"
"CHF","96.73","97.44","95.45","98.15","BOB","20240116"
"HKD","10.57","10.64","10.45","10.7","BOB","20240116"
"CAD","61.63","62.07","60.8","62.5","BOB","20240116"
"AUD","55.05","55.41","54.3","55.8","BOB","20240116"
"SGD","61.97","62.42","61.15","62.85","BOB","20240116"
NA,"12.13","12.22","11.95","12.3","BOB","20240116"
"SEK","8.04","8.1","7.95","8.15","BOB","20240116"
"NOK","8","8.06","7.9","8.1","BOB","20240116"
"USD","82.69","83.25","81.65","84.20","TBL","20240116"
"USD.5.10.20","","","79.20","","TBL","20240116"
"USD.1.2","","","77.57","","TBL","20240116"
"GBP","105.22","105.92","103.80","106.70","TBL","20240116"
"EUR","90.51","91.10","89.30","91.75","TBL","20240116"
"JPY","56.74","57.15","56.00","57.55","TBL","20240116"
"CHF","96.73","97.44","95.45","98.15","TBL","20240116"
"HKD","10.57","10.64","10.45","10.70","TBL","20240116"
"CAD","61.63","62.07","60.80","62.50","TBL","20240116"
"AUD","55.05","55.41","54.30","55.80","TBL","20240116"
"SGD","61.97","62.42","61.15","62.85","TBL","20240116"
"DKK","12.13","12.22","11.95","12.30","TBL","20240116"
"SEK","8.04","8.10","7.95","8.15","TBL","20240116"
"NOK","8.00","8.06","7.90","8.10","TBL","20240116"
